time_s,v_mph,v_veh_m_per_s,accel_m_per_s,delta_distance_km,total_distance_km,brake_force_n,power_demand_drag_kw,power_demand_rolling_resistance_kw,power_demand_acceleration_kw,power_demand_accessories_kw,power_demand_vehicle_kw,total_vehicle_energy_mj,average_e_veh_over_vkt_mj_per_km,eta,instant_fuel_req_kw,total_fuel_energy_mj,fuel_consumption_liters,fuel_efficiency_km_per_l,avg_fuel_mj_per_km
1664,50.0,22.352,-0.044704000000002964,0.022374352,15.689539359999984,77.62363020365694,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.617013654208616,0.8679039799552554,0.016428695165765086,52.17352008143734,128.22601679168483,3.749298736598971,4.184659708986575,8.172707550522054
1665,49.6,22.173184000000003,-0.17881599999999764,0.022262592,15.711801951999984,476.63886054471567,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.617870797065759,0.8667287710645001,0.016428695165765086,52.17352008143734,128.27819031176625,3.75082427812182,4.1888931037493125,8.16444801835333
1666,49.5,22.128480000000003,-0.04470399999999941,0.022150832000000002,15.733952783999984,73.47683576259377,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.618727939922902,0.8655630359951204,0.016428695165765086,52.17352008143734,128.33036383184768,3.7523498196446687,4.193093272281826,8.156269793967358
1667,49.5,22.128480000000003,0.0,0.022128480000000002,15.756081263999983,0.0,4.519406478475879,5.861170497600001,0.0,0.8571428571428572,11.237719833218737,13.624775371268083,0.8647312198369033,0.13498949706670832,83.24884585402482,128.39807501481542,3.7543296787957723,4.196776152342022,8.149112261066056
1668,49.5,22.128480000000003,0.0,0.022128480000000002,15.778209743999982,0.0,4.519406478475879,5.861170497600001,0.0,0.8571428571428572,11.237719833218737,13.6360130911013,0.8642306898149013,0.13498949706670832,83.24884585402482,128.48132386066945,3.7567638555751297,4.199947175435244,8.142959559117749
1669,49.1,21.949664,-0.17881600000000475,0.022039072,15.800248815999982,472.5254071645169,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.642060522446481,0.8634079552362472,0.016428695165765086,52.17352008143734,128.5490350436372,3.7587437147262333,4.203598333692402,8.135886753470816
1670,48.6,21.726144,-0.22351999999999705,0.021837904,15.822086719999982,602.5656301103147,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.642917665303624,0.8622704392119297,0.016428695165765086,52.17352008143734,128.60120856371861,3.760269256249082,4.207700470838815,8.127954980878702
1671,48.1,21.502624,-0.2235200000000006,0.021614384,15.843701103999981,598.5355293821867,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.643774808160767,0.8611482076442474,0.016428695165765086,52.17352008143734,128.65338208380004,3.761794797771931,4.211739862414619,8.120159629325471
1672,47.2,21.100288,-0.4023360000000018,0.021301456000000003,15.865002559999981,1127.8343724131637,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.64463195101791,0.8600459974346154,0.016428695165765086,52.17352008143734,128.70555560388146,3.763320339294779,4.215692826981871,8.112545530145923
1673,46.1,20.608544000000002,-0.4917439999999971,0.020854416,15.885856975999982,1387.5038897300292,0.0,0.0,0.0,0.8571428571428572,0.8571428571428572,13.645489093875053,0.8589709144738222,0.016428695165765086,52.17352008143734,128.7577291239629,3.764845880817628,4.219523847427715,8.105179929448399
